2019-11-21 15:16:17.982 [main] INFO  c.b.springbootlogback.SpringbootlogbackApplication - Starting SpringbootlogbackApplication on MS-20180314VZHE with PID 10572 (D:\springboot-workspace\springbootlogback\target\classes started by Administrator in D:\springboot-workspace)
2019-11-21 15:16:17.984 [main] INFO  c.b.springbootlogback.SpringbootlogbackApplication - No active profile set, falling back to default profiles: default
2019-11-21 15:16:18.578 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-11-21 15:16:18.584 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-11-21 15:16:18.585 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-21 15:16:18.585 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2019-11-21 15:16:18.667 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-21 15:16:18.668 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 653 ms
2019-11-21 15:16:18.781 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-21 15:16:18.874 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-11-21 15:16:18.892 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-11-21 15:16:18.895 [main] INFO  c.b.springbootlogback.SpringbootlogbackApplication - Started SpringbootlogbackApplication in 1.119 seconds (JVM running for 3.752)
2019-11-21 15:16:50.157 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-11-21 15:16:50.158 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-11-21 15:16:50.163 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
